search_keyword,search_location,job_title,company,job_location,skills,job_link,scraped_date
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",excel,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",nlp,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",powerbi,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",deep learning,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",machine learning,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",tableau,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY",r,https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Data Scientist II,Intel,"Manhattan, NY",machine learning,https://www.linkedin.com/jobs/view/simulated-1,2025-05-19
Data Scientist,New York,Data Scientist II,Intel,"Manhattan, NY",scikit-learn,https://www.linkedin.com/jobs/view/simulated-1,2025-05-19
Data Scientist,New York,Data Scientist II,Intel,"Manhattan, NY",pytorch,https://www.linkedin.com/jobs/view/simulated-1,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",excel,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",statistics,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",tensorflow,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",scikit-learn,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",pandas,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY",python,https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",deep learning,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",r,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",machine learning,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",tensorflow,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",tableau,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY",data visualization,https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Senior Data Scientist,Adobe,"Manhattan, NY",statistics,https://www.linkedin.com/jobs/view/simulated-4,2025-05-19
Data Scientist,New York,Senior Data Scientist,Adobe,"Manhattan, NY",pandas,https://www.linkedin.com/jobs/view/simulated-4,2025-05-19
Data Scientist,New York,Senior Data Scientist,Adobe,"Manhattan, NY",excel,https://www.linkedin.com/jobs/view/simulated-4,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",powerbi,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",tensorflow,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",nlp,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",pytorch,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",scikit-learn,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",deep learning,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY",tableau,https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Data Scientist,Salesforce,"Brooklyn, NY",deep learning,https://www.linkedin.com/jobs/view/simulated-6,2025-05-19
Data Scientist,New York,Data Scientist,Salesforce,"Brooklyn, NY",nlp,https://www.linkedin.com/jobs/view/simulated-6,2025-05-19
Data Scientist,New York,Data Scientist,Salesforce,"Brooklyn, NY",numpy,https://www.linkedin.com/jobs/view/simulated-6,2025-05-19
Data Scientist,New York,AI Researcher,Microsoft,"Brooklyn, NY",tensorflow,https://www.linkedin.com/jobs/view/simulated-7,2025-05-19
Data Scientist,New York,AI Researcher,Microsoft,"Brooklyn, NY",pytorch,https://www.linkedin.com/jobs/view/simulated-7,2025-05-19
