search_keyword,search_location,job_title,company,job_location,skills,job_link,scraped_date
Data Scientist,New York,Senior Data Scientist,IBM,"Manhattan, NY","['excel', 'nlp', 'powerbi', 'deep learning', 'machine learning', 'tableau', 'r']",https://www.linkedin.com/jobs/view/simulated-0,2025-05-19
Data Scientist,New York,Data Scientist II,Intel,"Manhattan, NY","['machine learning', 'scikit-learn', 'pytorch']",https://www.linkedin.com/jobs/view/simulated-1,2025-05-19
Data Scientist,New York,Data Scientist II,Meta,"Brooklyn, NY","['excel', 'statistics', 'tensorflow', 'scikit-learn', 'pandas', 'python']",https://www.linkedin.com/jobs/view/simulated-2,2025-05-19
Data Scientist,New York,Data Scientist II,Airbnb,"Brooklyn, NY","['deep learning', 'r', 'machine learning', 'tensorflow', 'tableau', 'data visualization']",https://www.linkedin.com/jobs/view/simulated-3,2025-05-19
Data Scientist,New York,Senior Data Scientist,Adobe,"Manhattan, NY","['statistics', 'pandas', 'excel']",https://www.linkedin.com/jobs/view/simulated-4,2025-05-19
Data Scientist,New York,Senior Data Scientist,Uber,"Manhattan, NY","['powerbi', 'tensorflow', 'nlp', 'pytorch', 'scikit-learn', 'deep learning', 'tableau']",https://www.linkedin.com/jobs/view/simulated-5,2025-05-19
Data Scientist,New York,Data Scientist,Salesforce,"Brooklyn, NY","['deep learning', 'nlp', 'numpy']",https://www.linkedin.com/jobs/view/simulated-6,2025-05-19
Data Scientist,New York,AI Researcher,Microsoft,"Brooklyn, NY","['tensorflow', 'pytorch', 'data visualization', 'powerbi', 'sql']",https://www.linkedin.com/jobs/view/simulated-7,2025-05-19
Data Scientist,New York,Lead Data Scientist,Amazon,"New York, NY","['tensorflow', 'deep learning', 'pytorch', 'scikit-learn', 'machine learning', 'sql']",https://www.linkedin.com/jobs/view/simulated-8,2025-05-19
Data Scientist,New York,AI Researcher,Airbnb,"New York, NY","['python', 'scikit-learn', 'powerbi', 'r', 'excel', 'deep learning']",https://www.linkedin.com/jobs/view/simulated-9,2025-05-19
Data Scientist,New York,Machine Learning Engineer,AMD,"Manhattan, NY","['statistics', 'data visualization', 'tensorflow', 'nlp', 'scikit-learn']",https://www.linkedin.com/jobs/view/simulated-10,2025-05-19
Data Scientist,New York,Data Scientist,Netflix,"Brooklyn, NY","['powerbi', 'nlp', 'excel', 'numpy', 'machine learning', 'tensorflow']",https://www.linkedin.com/jobs/view/simulated-11,2025-05-19
Data Scientist,New York,Machine Learning Engineer,LinkedIn,"New York, NY","['r', 'numpy', 'sql', 'scikit-learn', 'pandas', 'nlp', 'python']",https://www.linkedin.com/jobs/view/simulated-12,2025-05-19
